mes;dia;hora;perfil_usuari;pf
1;11;14;a;0.000161953488903191
1;11;15;a;0.000162454425542324
1;11;16;a;0.000147607122214403
1;11;17;a;0.000139724348621722
1;11;18;a;0.000141768766162169
1;11;19;a;0.00015846952019441
1;11;20;a;0.000170528392577336
1;11;21;a;0.000181173494019948
1;11;22;a;0.000182093421308259
1;11;23;a;0.000160844164375489
1;11;24;a;0.000132295597815916
1;19;1;a;0.000103557584530704
1;19;2;a;8.48788958222033e-05
1;19;3;a;7.47330750076824e-05
1;19;4;a;7.03405600214241e-05
1;19;5;a;6.8565109674977e-05
1;19;6;a;6.97125221138564e-05
1;19;7;a;8.09457410404101e-05
1;19;8;a;0.000110487273777731
1;19;9;a;0.000133956191159608
1;19;10;a;0.000151498841662959
1;19;11;a;0.000168490966771313
1;19;12;a;0.000173120259889904
1;19;13;a;0.000174965224635977
1;19;14;a;0.00017709663117346
1;19;15;a;0.000166513987374983
1;19;16;a;0.000155680416415319
1;19;17;a;0.000156174677312298
1;19;18;a;0.00016679127305405
1;19;19;a;0.000185797536452788
1;19;20;a;0.000199722320672407
1;19;21;a;0.000201729218711565
1;19;22;a;0.000195217801160354
1;19;23;a;0.000169028472066799
1;19;24;a;0.000135787371541126
1;16;1;a;0.000105909592409307
1;16;2;a;8.43169624552125e-05
1;16;3;a;7.46448369837707e-05
1;16;4;a;6.98565895372023e-05
1;16;5;a;6.87094788338189e-05
1;16;6;a;7.04185800518947e-05
1;16;7;a;8.31016008001219e-05
1;16;8;a;0.000114706158936543
1;16;9;a;0.000142235285846637
1;16;10;a;0.000160707278729234
1;16;11;a;0.000175453692359627
1;16;12;a;0.000175857077106732
1;16;13;a;0.000176515783513725
1;16;14;a;0.00017737901259818
1;16;15;a;0.000166718540637027
1;16;16;a;0.000158467543036229
1;16;17;a;0.000158288139460972
1;16;18;a;0.000167506554435374
1;16;19;a;0.000183510137030763
1;16;20;a;0.000192373366833712
1;16;21;a;0.000191066907741507
1;16;22;a;0.000184476139559937
1;16;23;a;0.000165802645247318
1;16;24;a;0.000139391312681653
1;31;1;a;0.000112071252952338
1;31;2;a;9.16105804658567e-05
1;31;3;a;7.86395038007614e-05
1;31;4;a;7.20769439227911e-05
1;31;5;a;6.95128429053677e-05
1;31;6;a;7.00377013021003e-05
1;31;7;a;7.4492432503502e-05
1;31;8;a;8.46871638515933e-05
1;31;9;a;0.000104135162264434
1;31;10;a;0.000134510197018734
1;31;11;a;0.000158994793575655
1;31;12;a;0.000165950980560621
1;31;13;a;0.00016977252981181
1;31;14;a;0.000174686363954174
1;31;15;a;0.000168690162454474
1;31;16;a;0.000152773036604493
1;31;17;a;0.000144504572364181
1;31;18;a;0.000146415948448118
1;31;19;a;0.000160412303452428
1;31;20;a;0.000170565590373391
1;31;21;a;0.000175163269427227
1;31;22;a;0.000174487030762742
1;31;23;a;0.000158983695287876
1;31;24;a;0.000135872874681306
1;1;1;a;0.000108697764595941
1;1;2;a;9.05903941422729e-05
1;1;3;a;7.81295864572e-05
1;1;4;a;7.07876991044698e-05
1;1;5;a;6.69146836945726e-05
1;1;6;a;6.64981309805742e-05
1;1;7;a;6.95202059850308e-05
1;1;8;a;7.54531390162993e-05
1;1;9;a;8.65824533982882e-05
1;1;10;a;0.000108707765279772
1;1;11;a;0.000131345456634143
1;1;12;a;0.000143476116743573
1;1;13;a;0.000148122738526314
1;1;14;a;0.000150898984273704
1;1;15;a;0.000151504939503277
1;1;16;a;0.000137630368762218
1;1;17;a;0.000130410895631369
1;1;18;a;0.000132744186453847
1;1;19;a;0.000148727267398963
1;1;20;a;0.000159495021667907
1;1;21;a;0.000169496649391885
1;1;22;a;0.000171033394751241
1;1;23;a;0.000151967522173948
1;1;24;a;0.000124803569971872
1;20;1;a;0.00010571543208748
1;20;2;a;8.51853011647686e-05
1;20;3;a;7.60280140860368e-05
1;20;4;a;7.14719935471103e-05
1;20;5;a;6.98964279476609e-05
1;20;6;a;7.15978789872029e-05
1;20;7;a;8.37314970667087e-05
1;20;8;a;0.000115436190245724
1;20;9;a;0.000140862937948659
1;20;10;a;0.00015814221925091
1;20;11;a;0.000173077000898299
1;20;12;a;0.000175220239507238
1;20;13;a;0.000177271211575408
1;20;14;a;0.000179705224637335
1;20;15;a;0.000168836919960273
1;20;16;a;0.000159116107532872
1;20;17;a;0.000161220789075438
1;20;18;a;0.000174037901438106
1;20;19;a;0.000192828434167239
1;20;20;a;0.000203889611227423
1;20;21;a;0.000204652337456556
1;20;22;a;0.000196558886051082
1;20;23;a;0.000171735864309617
1;20;24;a;0.000138010066564009
1;23;1;a;0.000108873291674818
1;23;2;a;8.652600679078e-05
1;23;3;a;7.66108031233499e-05
1;23;4;a;7.16861134771588e-05
1;23;5;a;7.05167706635771e-05
1;23;6;a;7.23050166186261e-05
1;23;7;a;8.52910602015141e-05
1;23;8;a;0.000117904587437685
1;23;9;a;0.000146411413285048
1;23;10;a;0.000165699344463546
1;23;11;a;0.000180594442796119
1;23;12;a;0.000180340938298321
1;23;13;a;0.000180694565039401
1;23;14;a;0.000181522258290335
1;23;15;a;0.000170570026632387
1;23;16;a;0.000161955401487302
1;23;17;a;0.000161981066931299
1;23;18;a;0.000171216167776164
1;23;19;a;0.000187429444077659
1;23;20;a;0.000197262273366231
1;23;21;a;0.000196160965150763
1;23;22;a;0.000189492643063554
1;23;23;a;0.000170155854522928
1;23;24;a;0.000143156227919904
1;7;1;a;9.94548395000676e-05
1;7;2;a;8.01702490436092e-05
1;7;3;a;7.14654734773833e-05
1;7;4;a;6.70408538889332e-05
1;7;5;a;6.56370906618063e-05
1;7;6;a;6.73593043177933e-05
1;7;7;a;7.91850960762674e-05
1;7;8;a;0.000108930680099786
1;7;9;a;0.000133656964600185
1;7;10;a;0.000151520199923561
1;7;11;a;0.00016660588878506
1;7;12;a;0.000168906141905662
1;7;13;a;0.000170565733538363
1;7;14;a;0.000172628162355186
1;7;15;a;0.000162050612065617
1;7;16;a;0.000152277652398079
1;7;17;a;0.00015401105638979
1;7;18;a;0.000166294541406257
1;7;19;a;0.00018522515517724
1;7;20;a;0.000195640589285747
1;7;21;a;0.000196681269700346
1;7;22;a;0.000188895047803751
1;7;23;a;0.000165084186623673
1;7;24;a;0.000133175481398377
1;13;1;a;0.000102838835919811
1;13;2;a;8.3035331859573e-05
1;13;3;a;7.42171703231112e-05
1;13;4;a;6.96457168875094e-05
1;13;5;a;6.8177871503417e-05
1;13;6;a;6.97616663111861e-05
1;13;7;a;8.15834710134722e-05
1;13;8;a;0.000112444612099994
1;13;9;a;0.000137212120755981
1;13;10;a;0.000153710114568055
1;13;11;a;0.000167638260399219
1;13;12;a;0.000169285557990244
1;13;13;a;0.000170814232608934
1;13;14;a;0.000172502940919431
1;13;15;a;0.000161940262852051
1;13;16;a;0.000152507866792182
1;13;17;a;0.000154148173943919
1;13;18;a;0.000166398424503054
1;13;19;a;0.000185278668261117
1;13;20;a;0.000196408809965767
1;13;21;a;0.000197254588020048
1;13;22;a;0.000189698280493788
1;13;23;a;0.000165624126651291
1;13;24;a;0.0001333642630912
1;6;1;a;0.000111615067833783
1;6;2;a;9.15564068352704e-05
1;6;3;a;7.87330681437567e-05
1;6;4;a;7.16241301581917e-05
1;6;5;a;6.82061252531079e-05
1;6;6;a;6.80895114063251e-05
1;6;7;a;7.15137823270863e-05
1;6;8;a;7.80265612784209e-05
1;6;9;a;9.05633500874651e-05
1;6;10;a;0.000115182989650202
1;6;11;a;0.000139430836322019
1;6;12;a;0.000151301571514386
1;6;13;a;0.000154849072046119
1;6;14;a;0.000156717520678323
1;6;15;a;0.000156531829044563
1;6;16;a;0.000142060146550578
1;6;17;a;0.00013445899210517
1;6;18;a;0.000136812379110769
1;6;19;a;0.000152938590787074
1;6;20;a;0.000163879427409005
1;6;21;a;0.000174055833563221
1;6;22;a;0.000176236927999661
1;6;23;a;0.000156513152427198
1;6;24;a;0.000128712839371771
1;4;1;a;0.00011362985488396
1;4;2;a;9.31057056564597e-05
1;4;3;a;8.01401121780524e-05
1;4;4;a;7.29721450792871e-05
1;4;5;a;6.94427316680907e-05
1;4;6;a;6.94500888218375e-05
1;4;7;a;7.2935917696671e-05
1;4;8;a;7.96036571009197e-05
1;4;9;a;9.25135795647675e-05
1;4;10;a;0.000117905365299384
1;4;11;a;0.000142983204461903
1;4;12;a;0.000155069752679425
1;4;13;a;0.000158431426149275
1;4;14;a;0.000160658409396102
1;4;15;a;0.000161215195936754
1;4;16;a;0.000146964931069046
1;4;17;a;0.000139107017485632
1;4;18;a;0.000141145103962638
1;4;19;a;0.000157406433281263
1;4;20;a;0.000168250911522506
1;4;21;a;0.000178639186022138
1;4;22;a;0.0001799795703132
1;4;23;a;0.000159423705947553
1;4;24;a;0.000131190996140973
1;15;1;a;0.000102576054400979
1;15;2;a;8.28494008161213e-05
1;15;3;a;7.39316122234859e-05
1;15;4;a;6.96148497668934e-05
1;15;5;a;6.80257788789589e-05
1;15;6;a;6.97349042002378e-05
1;15;7;a;8.14230144099947e-05
1;15;8;a;0.000112027590270792
1;15;9;a;0.000136467895615735
1;15;10;a;0.000152995623726646
1;15;11;a;0.000167028996923
1;15;12;a;0.000168745983784214
1;15;13;a;0.000170568434789005
1;15;14;a;0.000172455761992701
1;15;15;a;0.000161997857793111
1;15;16;a;0.000152762791119404
1;15;17;a;0.000154820051302948
1;15;18;a;0.000167118600990129
1;15;19;a;0.000185512801493617
1;15;20;a;0.000196132232129405
1;15;21;a;0.00019663573866466
1;15;22;a;0.000188775999498202
1;15;23;a;0.000165300638502757
1;15;24;a;0.000133259156378818
1;14;1;a;0.000102833831001795
1;14;2;a;8.30246714714044e-05
1;14;3;a;7.41738858488452e-05
1;14;4;a;6.96112561789064e-05
1;14;5;a;6.81709081090049e-05
1;14;6;a;6.97469271286788e-05
1;14;7;a;8.15698313080687e-05
1;14;8;a;0.000112286326964316
1;14;9;a;0.000136945850163232
1;14;10;a;0.000153247823397517
1;14;11;a;0.000167359493977769
1;14;12;a;0.00016891610330841
1;14;13;a;0.000170639479122495
1;14;14;a;0.000172494376141003
1;14;15;a;0.000161923925764567
1;14;16;a;0.000152515607693204
1;14;17;a;0.000154506690785704
1;14;18;a;0.000166743057539126
1;14;19;a;0.000185485553750277
1;14;20;a;0.000196346195364341
1;14;21;a;0.00019723597557483
1;14;22;a;0.000189615460240471
1;14;23;a;0.00016554066402612
1;14;24;a;0.000133201325053362
1;30;1;a;0.000106597835952764
1;30;2;a;8.49068202546548e-05
1;30;3;a;7.53667768241888e-05
1;30;4;a;7.04450744365779e-05
1;30;5;a;6.92465079924314e-05
1;30;6;a;7.08711218281017e-05
1;30;7;a;8.34954447570059e-05
1;30;8;a;0.00011509906118546
1;30;9;a;0.000142306789489806
1;30;10;a;0.000160865570968622
1;30;11;a;0.000175371325652361
1;30;12;a;0.000175893243876451
1;30;13;a;0.000176585463141019
1;30;14;a;0.000177904766954124
1;30;15;a;0.000167228214740108
1;30;16;a;0.000158838961455355
1;30;17;a;0.000158684483036195
1;30;18;a;0.000168014208706344
1;30;19;a;0.000183310112016118
1;30;20;a;0.000192576344025884
1;30;21;a;0.000190807344776426
1;30;22;a;0.000183819840391953
1;30;23;a;0.000165402385941605
1;30;24;a;0.000138997380428195
1;10;1;a;0.000112353496402479
1;10;2;a;9.11484126378366e-05
1;10;3;a;7.82813465582177e-05
1;10;4;a;7.17017984439141e-05
1;10;5;a;6.90047833898155e-05
1;10;6;a;6.94753317590776e-05
1;10;7;a;7.40963971005619e-05
1;10;8;a;8.46400840982906e-05
1;10;9;a;0.000104092432844941
1;10;10;a;0.000134439295664649
1;10;11;a;0.000158308530877741
1;10;12;a;0.000164901063999699
1;10;13;a;0.000168580482787582
1;10;14;a;0.000173039003108629
1;10;15;a;0.000167266974462767
1;10;16;a;0.000151404109677883
1;10;17;a;0.000143696917315068
1;10;18;a;0.000146143075829291
1;10;19;a;0.000161365142706875
1;10;20;a;0.00017019046847841
1;10;21;a;0.000174828383822546
1;10;22;a;0.000174625401844938
1;10;23;a;0.000159253867987764
1;10;24;a;0.000135829505396911
1;29;1;a;0.000103884753004838
1;29;2;a;8.39381782849333e-05
1;29;3;a;7.4992087091257e-05
1;29;4;a;7.03810478884832e-05
1;29;5;a;6.88335936778214e-05
1;29;6;a;7.04352202098628e-05
1;29;7;a;8.22965897925538e-05
1;29;8;a;0.000113188339468118
1;29;9;a;0.000137594626270373
1;29;10;a;0.000154137544228347
1;29;11;a;0.000168218689230094
1;29;12;a;0.000169949627716869
1;29;13;a;0.000171871467547624
1;29;14;a;0.000174281485776163
1;29;15;a;0.000163865263522847
1;29;16;a;0.000154593949320945
1;29;17;a;0.000156499183393989
1;29;18;a;0.000168792247250071
1;29;19;a;0.000186536582890873
1;29;20;a;0.000198039416577788
1;29;21;a;0.0001988899174891
1;29;22;a;0.000191181615285691
1;29;23;a;0.000167239633367865
1;29;24;a;0.000134850006859934
1;12;1;a;0.00010169295756536
1;12;2;a;8.33003374348225e-05
1;12;3;a;7.33514091858597e-05
1;12;4;a;6.90491939500093e-05
1;12;5;a;6.74013710072856e-05
1;12;6;a;6.85165079707609e-05
1;12;7;a;7.96196373359305e-05
1;12;8;a;0.00010888196725693
1;12;9;a;0.00013168824296193
